title,track,novelty_scores,scope_scores,technical_scores
Multi-Label Zero-Shot Product Attribute-Value Extraction,Semantics and Knowledge,"3, 6, 5, 6, 4","2, 3, 3, 3, 4","4, 6, 5, 6, 3"
Link Prediction on Multilayer Networks through Learning of Within-Layer and Across-Layer Node-Pair Structural Features and Node Embedding Similarity,Graph Algorithms and Learning for the Web,"5, 3, 6, 4, 5","3, 4, 4, 4, 4","5, 3, 6, 5, 5"
Global News Synchrony During the Start of the COVID-19 Pandemic,"Social Networks, Social Media, and Society","5, 4, 6, 2","3, 3, 3, 3","5, 3, 6, 2"
More Than Routing: Joint GPS and Route Modeling for Refine Trajectory Representation Learning,"Systems and Infrastructure for Web, Mobile, and WoT","5, 3, 5, 5","3, 3, 4, 2","4, 5, 5, 5"
Characterizing Ethereum Upgradable Smart Contracts and Their Security Implications,Security,"5, 5, 6, 5, 4","4, 4, 5, 3, 3","4, 6, 2, 4, 4"
Ad vs Organic: Revisiting Incentive Compatible Mechanism Design in E-commerce Platforms,"Economics, Online Markets, and Human Computation","6, 5, 4, 6, 5","4, 3, 3, 4, 4","6, 5, 3, 6, 5"
Disambiguated Node Classification with Graph Neural Networks,Graph Algorithms and Learning for the Web,"3, 5, 5, 5, 4","4, 4, 3, 3, 4","3, 4, 5, 4, 4"
M-scan: A Multi-Scenario Causal-driven Adaptive Network for Recommendation,User Modeling and Recommendation,"5, 4, 4, 5","3, 4, 2, 4","5, 5, 5, 5"
Exit Ripple Effects: Understanding the Disruption of Socialization Networks Following Employee Departures,COI (submissions co-authored by SAC),"4, 5, 5, 6, 5","3, 4, 3, 4, 3","3, 3, 5, 4, 4"
PMG : Personalized Multimodal Response Generation with Large Language Models,User Modeling and Recommendation,"5, 5, 4, 6","4, 3, 3, 3","6, 3, 3, 5"
Barter Exchange with Shared Item Valuations,"Economics, Online Markets, and Human Computation","6, 5, 4, 4, 4","3, 4, 4, 4, 3","5, 5, 4, 3, 4"
Perennial Semantic Data Terms of Use for Decentralized Web,Semantics and Knowledge,"5, 7, 5, 5, 4","4, 4, 4, 4, 3","6, 6, 5, 4, 2"
Not All Asians are the Same: A Disaggregated Approach to Identifying Anti-Asian Racism in Social Media,"Social Networks, Social Media, and Society","6, 2, 3, 6","4, 4, 4, 4","5, 6, 5, 6"
When Imbalance Meets Imbalance: Structure-driven Learning for Imbalanced Graph Classification,Graph Algorithms and Learning for the Web,"4, 7, 6, 4, 4","3, 4, 4, 4, 4","4, 7, 3, 5, 4"
WEFix: Intelligent Automatic Generation of Explicit Waits for Efficient Web End-to-End Flaky Tests,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 5, 5, 4","3, 4, 4, 4, 4","5, 6, 6, 5, 4"
GNNs as Adapters for LLMs on Text-Attributed Graphs,Graph Algorithms and Learning for the Web,"4, 4, 4, 5","2, 4, 2, 3","5, 4, 4, 5"
On the Feasibility of Simple Transformer for Dynamic Graph Modeling,Graph Algorithms and Learning for the Web,"5, 2, 4, 4","5, 4, 3, 5","3, 4, 4, 3"
The Matter of Captchas: An Analysis of a Brittle Security Feature on the Modern Web,Security,"4, 4, 5, 2, 5","3, 4, 3, 3, 4","6, 5, 3, 3, 7"
Reinforcement Learning with Maskable Stock Representation for Portfolio Management in Customizable Stock Pools,"Economics, Online Markets, and Human Computation","4, 4, 4, 5","3, 3, 3, 3","5, 5, 5, 5"
High-Frequency-aware Hierarchical Contrastive Selective Coding for Representation Learning on Text Attributed Graphs,Web Mining and Content Analysis,"4, 5, 5, 4, 5","4, 3, 4, 3, 3","4, 5, 4, 3, 5"
Fair Surveillance Assignment Problem,"Economics, Online Markets, and Human Computation","7, 5, 5","3, 4, 4","7, 4, 6"
Learning to Generate Explainable Stock Predictions using Self-Reflective Large Language Models,Web Mining and Content Analysis,"5, 6, 4, 5","2, 3, 4, 4","4, 4, 5, 4"
Fairness in link analysis ranking algorithms,"Social Networks, Social Media, and Society","3, 4, 5, 3, 5","3, 4, 3, 3, 4","5, 4, 5, 5, 5"
Diagrammatic Reasoning for ALC visualizations with Logic Graphs,Web Mining and Content Analysis,"3, 6, 4, 4, 4","3, 3, 3, 3, 3","4, 7, 5, 7, 5"
Multimodal Relation Extraction via a Mixture of Hierarchical Visual Context Learners,Web Mining and Content Analysis,"5, 5, 6, 5, 4","4, 3, 4, 4, 3","6, 5, 5, 6, 4"
TikTok and the Art of Personalization: Investigating Exploration and Exploitation on Social Media Feeds,User Modeling and Recommendation,"7, 5, 3, 4, 5","4, 4, 4, 3, 4","5, 5, 5, 4, 2"
GNNShap: Scalable and Accurate GNN Explanation using Shapley Values,Graph Algorithms and Learning for the Web,"4, 3, 4, 5, 3","3, 4, 3, 3, 3","5, 4, 5, 5, 4"
Author Name Disambiguation via Paper Association Refinement and Compositional Contrastive Embedding,Semantics and Knowledge,"5, 5, 6, 6, 4","3, 3, 4, 6, 4","5, 5, 3, 4, 4"
Robust Route Planning under Uncertain Pickup Requests for Last-mile Delivery,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 3, 4, 5","3, 3, 1, 2, 2","5, 5, 3, 4, 5"
A Symbolic Rule Integration Framework with Logic Transformer for Inductive Relation Prediction,Semantics and Knowledge,"7, 6, 6, 5","3, 3, 3, 3","5, 6, 6, 6"
UniLP: Unified Topology-aware Generative Framework for Link Prediction in Knowledge Graph,Semantics and Knowledge,"4, 4, 4, 6","3, 4, 3, 4","4, 4, 5, 6"
HSDirSniper: A New Attack Exploiting Vulnerabilities in Tor's Hidden Service Directories,Security,"6, 4, 5, 5, 5","3, 3, 4, 4, 4","5, 4, 5, 5, 4"
Inductive Cognitive Diagnosis for Fast Student Learning in Web-Based Intelligent Education Systems,Web Mining and Content Analysis,"4, 4, 5, 4, 4","3, 4, 3, 3, 4","6, 6, 5, 3, 4"
"Analysis and Detection of ""Pink Slime"" Websites in Social Media Posts","Social Networks, Social Media, and Society","4, 5, 4, 5","3, 4, 4, 3","4, 4, 4, 5"
A Simple but Effective Approach for Unsupervised Few-Shot Graph Classification,Web Mining and Content Analysis,"4, 4, 5, 4","4, 2, 4, 3","5, 3, 6, 4"
A Quasi-Wasserstein Loss for Learning Graph Neural Networks,Graph Algorithms and Learning for the Web,"6, 5, 4, 6","4, 4, 4, 4","6, 4, 5, 5"
Cross-Space Adaptive Filter: Integrating Graph Topology and Node Attributes for Alleviating the Over-smoothing Problem,Graph Algorithms and Learning for the Web,"4, 4, 4, 5, 5","3, 3, 3, 3, 4","4, 4, 4, 6, 6"
Question Difficulty Consistent Knowledge Tracing,Web Mining and Content Analysis,"3, 4, 5, 6, 4","3, 3, 3, 3, 4","3, 6, 5, 6, 4"
BOND: Bootstrapping From-Scratch Name Disambiguation with Multi-task Promoting,Web Mining and Content Analysis,"4, 4, 6, 5","3, 4, 4, 3","5, 5, 6, 5"
Enhancing Recommendation Accuracy and Diversity with Box Embedding: A Universal Framework,User Modeling and Recommendation,"6, 6, 3, 6, 4","4, 4, 4, 4, 3","6, 5, 3, 6, 3"
Unleashing the Power of Knowledge Graph for Recommendation via Invariant Learning,User Modeling and Recommendation,"3, 5, 5, 4, 4","4, 3, 4, 4, 3","4, 5, 5, 3, 4"
Contrastive Fingerprinting: A Novel Website Fingerprinting Attack over Few-shot Traces,Responsible Web,"5, 5, 5, 5, 3","4, 3, 4, 3, 4","5, 5, 5, 2, 5"
Unify Graph Learning with Text: Unleashing LLM Potentials for Session Search,Search,"6, 4, 5, 4","4, 3, 4, 4","3, 4, 5, 5"
Sublinear-Time Opinion Estimation in the Friedkin--Johnsen Model,"Social Networks, Social Media, and Society","5, 4, 3, 5, 6","4, 4, 4, 4, 4","5, 4, 4, 5, 6"
Graph Principal Flow Network for Conditional Graph Generation,Graph Algorithms and Learning for the Web,"5, 5, 4, 6, 6","3, 4, 4, 3, 2","3, 2, 4, 5, 6"
Unveiling the Paradox of NFT Prosperity,COI (submissions co-authored by SAC),"2, 4, 5, 4, 6, 5","3, 3, 3, 4, 4, 4","3, 4, 5, 4, 5, 5"
Bridging the Space Gap: Unifying Geometry Knowledge Graph Embedding with Optimal Transport,Semantics and Knowledge,"5, 5, 5, 3","3, 3, 4, 3","5, 5, 5, 3"
HaSa: Hardness and Structure-Aware Contrastive Knowledge Graph Embedding,Semantics and Knowledge,"5, 6, 4, 4, 5","4, 3, 4, 3, 4","3, 3, 4, 4, 4"
Enhancing Complex Question Answering over Knowledge Graphs through Evidence Pattern Retrieval,Semantics and Knowledge,"4, 4, 5, 3","4, 3, 4, 4","6, 5, 6, 5"
Calibrating Graph Neural Networks from a Data-centric Perspective,Graph Algorithms and Learning for the Web,"5, 6, 4, 5, 5","4, 4, 3, 3, 3","5, 5, 5, 4, 5"
Learning Counterfactual Explanations for Recommender Systems,User Modeling and Recommendation,"5, 3, 3, 5, 3","4, 3, 4, 3, 3","4, 5, 4, 5, 4"
Modeling Balanced Explicit and Implicit Relations with Contrastive Learning for Knowledge Concept Recommendation in MOOCs,User Modeling and Recommendation,"5, 5, 5, 4, 3","3, 4, 4, 4, 4","5, 5, 5, 5, 4"
Breaking the Time-Frequency Granularity Discrepancy in Time-Series Anomaly Detection,Web Mining and Content Analysis,"4, 6, 5, 4, 5","1, 3, 3, 3, 4","5, 6, 4, 4, 5"
Zero-shot Image Classification with Logic Adapter and Rule Prompt,Semantics and Knowledge,"6, 4, 6, 3","3, 3, 3, 3","6, 4, 5, 3"
Mirror Gradient: Towards Robust Multimodal Recommender Systems via Exploring Flat Local Minima,User Modeling and Recommendation,"4, 5, 6, 4","4, 4, 4, 3","3, 6, 6, 3"
VPNSniffer: Identifying VPN Servers Through Graph-Represented Behaviors,Security,"4, 5, 4, 4","4, 3, 3, 4","3, 5, 4, 4"
EXGC: Bridging Efficiency and Explainability in Graph Condensation,Graph Algorithms and Learning for the Web,"5, 5, 4, 5","4, 3, 4, 3","6, 4, 4, 5"
Invariant Graph Learning for Treatment Effect Estimation from Networked Observational Data,"Social Networks, Social Media, and Society","5, 3, 5, 4","4, 4, 4, 4","6, 4, 5, 4"
Faithful Temporal Question Answering over Heterogeneous Sources,Semantics and Knowledge,"4, 4, 4, 2","4, 3, 4, 3","4, 5, 6, 3"
Graph Pretraining and Prompt Learning for Recommendation,User Modeling and Recommendation,"4, 6, 5, 4, 3","3, 4, 4, 4, 3","4, 6, 5, 5, 4"
Privacy-Preserving and Fairness-Aware Federated Learning for Critical Infrastructure Protection and Resilience,"Systems and Infrastructure for Web, Mobile, and WoT","3, 6, 5, 6, 2","1, 4, 4, 4, 3","3, 6, 6, 6, 3"
Malicious Package Detection using Metadata Information,Security,"3, 5, 4, 3, 5","4, 4, 3, 3, 3","3, 6, 6, 3, 5"
MuGSI: Distilling GNNs with Multi-Granularity Structural Information for Graph Classification,Graph Algorithms and Learning for the Web,"5, 4, 4, 4, 3","4, 3, 4, 4, 4","5, 5, 5, 5, 3"
NETEVOLVE: Social Network Forecasting using Multi-Agent Reinforcement Learning with Interpretable Features,"Social Networks, Social Media, and Society","4, 5, 4, 4, 6","3, 3, 4, 4, 3","5, 3, 4, 4, 6"
A Worldwide View on the Reachability of Encrypted DNS Services,Responsible Web,"6, 4, 3, 5, 3, 4","4, 4, 3, 4, 4, 4","6, 3, 5, 5, 5, 6"
MatchNAS: Optimizing Edge AI in Sparse-Label Data Contexts via Automating Deep Neural Network Porting for Mobile Deployment,COI (submissions co-authored by SAC),"5, 3, 3, 3, 6, 6","3, 4, 4, 4, 4, 4","4, 4, 3, 4, 6, 6"
Recommender Transformers with Behavior Pathways,User Modeling and Recommendation,"4, 2, 4, 4, 6","3, 4, 4, 3, 4","4, 3, 5, 6, 6"
An Efficient Automatic Meta-Path Selection for Social Event Detection via Hyperbolic Space,"Social Networks, Social Media, and Society","3, 5, 5, 4, 4","4, 4, 4, 4, 3","4, 5, 4, 5, 4"
Fake Resume Attacks: Data Poisoning on Online Job Platforms,Security,"5, 3, 4, 4, 5","4, 4, 4, 3, 3","4, 3, 4, 4, 6"
Full Stage Learning to Rank: A Unified Framework for Multi-Stage Systems,User Modeling and Recommendation,"6, 6, 5, 5, 5","4, 4, 4, 3, 4","6, 6, 4, 4, 5"
SymLearn: A Symbiotic Crowd-AI Collective Learning Framework to Web-based Healthcare Policy Adherence Assessment,"Social Networks, Social Media, and Society","6, 5, 4, 4","3, 4, 4, 4","7, 4, 3, 4"
Online Billion-Scale Recommender Systems with Macro Graph Neural Networks,User Modeling and Recommendation,"6, 3, 4, 6, 5","4, 4, 4, 4, 4","6, 4, 4, 6, 6"
PACER: Network Embedding From Positional to Structural,"Social Networks, Social Media, and Society","3, 4, 6","4, 3, 4","4, 5, 6"
Federated Learning Vulnerabilities: Privacy Attacks with Denoising Diffusion Probabilistic Models,Responsible Web,"5, 5, 3, 5, 6","3, 3, 3, 4, 3","5, 4, 4, 6, 5"
PAGE: Equilibrate Personalization and Generalization in Federated Learning,"Systems and Infrastructure for Web, Mobile, and WoT","6, 5, 4, 6, 4","4, 3, 3, 4, 2","6, 4, 4, 5, 5"
Improving Retrieval in Theme-specific Applications using a Corpus Topical Taxonomy,Search,"4, 4, 5, 4","4, 4, 4, 3","4, 5, 7, 4"
Accelerating the decentralized federated learning via manipulating edges,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 5, 4, 4","3, 2, 4, 3, 4","5, 5, 5, 5, 6"
Graph Fairness Learning under Distribution Shifts,Graph Algorithms and Learning for the Web,"4, 3, 4, 5, 4","3, 4, 3, 4, 3","4, 4, 4, 4, 4"
Collaborate to Adapt: Source-Free Graph Domain Adaptation via Bi-directional Adaptation,Graph Algorithms and Learning for the Web,"5, 5, 5, 4","3, 4, 4, 4","6, 6, 5, 4"
Using Model Calibration to Evaluate Link Prediction in Knowledge Graphs,Semantics and Knowledge,"5, 6, 5, 4, 5","3, 4, 4, 4, 3","4, 7, 5, 3, 5"
Best of Three Worlds: Adaptive Experimentation for Digital Marketing in Practice,User Modeling and Recommendation,"5, 5, 5, 4, 4","4, 4, 3, 3, 4","4, 5, 5, 4, 5"
Off-Policy Evaluation for Large Action Spaces via Policy Convolution,User Modeling and Recommendation,"6, 4, 4, 6","4, 3, 2, 4","5, 4, 4, 6"
Prior-Free Mechanisms with Welfare Estimates,"Economics, Online Markets, and Human Computation","3, 5, 4, 5, 5","3, 4, 3, 3, 4","4, 6, 5, 4, 6"
User Response in Ad Auctions: An MDP Formulation of Long-term Revenue Optimization,"Economics, Online Markets, and Human Computation","5, 6, 5","3, 4, 4","4, 6, 5"
The Double Edged Sword: Identifying Authentication Pages and their Fingerprinting Behavior,Security,"5, 4, 6, 5","4, 4, 4, 4","5, 6, 6, 5"
Poisoning Federated Recommender Systems with Fake Users,User Modeling and Recommendation,"5, 5, 5, 5, 6","4, 4, 4, 4, 4","5, 5, 5, 5, 4"
Learning Mixtures of Continuous-Time Markov Chains,COI (submissions co-authored by SAC),"5, 4, 3, 6, 5, 5","3, 1, 2, 3, 2, 3","5, 5, 4, 6, 6, 5"
GNNGuard: A Fingerprinting Framework for Verifying Ownerships of Graph Neural Networks,Graph Algorithms and Learning for the Web,"5, 4, 5, 3, 5","4, 4, 4, 4, 4","6, 4, 5, 5, 5"
Unified Uncertainty Estimation for Cognitive Diagnosis Models,User Modeling and Recommendation,"5, 6, 4, 3, 5","4, 4, 3, 3, 4","6, 5, 5, 4, 5"
Mitigating Exploitation Bias in Learning to Rank with an Uncertainty-aware Empirical Bayes Approach,Search,"5, 5, 4, 5, 3","4, 4, 4, 3, 4","4, 5, 4, 4, 2"
Linear-Time Graph Neural Networks for Scalable Recommendations,User Modeling and Recommendation,"4, 5, 6, 4","3, 3, 4, 3","4, 5, 5, 5"
Retention Depolarization in Recommender System,Responsible Web,"5, 6, 4, 4, 5","4, 3, 4, 3, 4","6, 3, 4, 5, 6"
Learning Category Trees for ID-Based Recommendation: Exploring the Power of Differentiable Vector Quantization,User Modeling and Recommendation,"5, 4, 7, 5, 4","3, 3, 4, 3, 3","6, 3, 6, 5, 4"
Graph Contrastive Learning Reimagined: Exploring Universality,Graph Algorithms and Learning for the Web,"3, 6, 6, 3","3, 3, 3, 3","3, 5, 6, 2"
ContraMTD: An Unsupervised Malicious Network Traffic Detection Method based on Contrastive Learning,Security,"3, 4, 5, 3, 5","4, 3, 4, 2, 3","3, 5, 4, 3, 5"
Semantic Evolvement Enhanced Graph Autoencoder for Rumor Detection,Web Mining and Content Analysis,"5, 5, 2, 6, 6","3, 4, 3, 4, 4","4, 5, 2, 5, 4"
Identifying Risky Vendors in Cryptocurrency P2P Marketplaces,COI (submissions co-authored by SAC),"4, 5, 4, 5, 5, 5","3, 4, 3, 4, 4, 4","4, 5, 3, 5, 5, 6"
LARA: A Light and Anti-overfitting Retraining Approach for Unsupervised Anomaly Detection,Web Mining and Content Analysis,"5, 4, 5, 3, 6","2, 3, 3, 3, 4","5, 4, 6, 5, 5"
Explainable Fake News Detection With Large Language Model via Defense Among Competing Wisdom,"Social Networks, Social Media, and Society","5, 5, 3, 4","4, 4, 4, 4","5, 6, 5, 3"
Graph Contrastive Learning with Cohesive Subgraph Awareness,Graph Algorithms and Learning for the Web,"5, 4, 3, 5","4, 3, 3, 3","5, 4, 4, 6"
COLA: Cross-city Mobility Transformer for Human Trajectory Simulation,User Modeling and Recommendation,"4, 5, 4, 5","3, 3, 3, 3","4, 6, 4, 6"
MSynFD: Multi-hop Syntax aware Fake News Detection,Web Mining and Content Analysis,"6, 3, 6","4, 3, 3","6, 4, 5"
Labor Space: A Unifying Representation of the Labor Market via Large Language Models,"Social Networks, Social Media, and Society","4, 6, 3, 5, 4","4, 3, 3, 4, 4","6, 4, 3, 5, 5"
Helen: Optimizing CTR Prediction Models with Frequency-wise Hessian Eigenvalue Regularization,User Modeling and Recommendation,"6, 3, 5, 5","4, 4, 3, 4","4, 4, 3, 4"
Incentive and Dynamic Client Selection for Federated Unlearning,"Systems and Infrastructure for Web, Mobile, and WoT","4, 4, 6","3, 3, 3","5, 3, 5"
Challenging Low Homophily in Social Recommendation,User Modeling and Recommendation,"6, 4, 6, 6","4, 4, 4, 4","6, 5, 7, 4"
Representation Learning with Large Language Models for Recommendation,User Modeling and Recommendation,"3, 6, 4","4, 4, 4","3, 6, 5"
"Divide, Conquer, and Coalesce: Meta Parallel Graph Neural Network for IoT Intrusion Detection at Scale",Security,"3, 4, 5, 4, 4","3, 3, 3, 3, 4","4, 5, 5, 4, 5"
ESCNet: Entity-enhanced and Stance Checking Network for Multi-modal Fact-Checking,"Social Networks, Social Media, and Society","5, 5, 4, 5, 6","3, 4, 3, 4, 4","4, 6, 4, 6, 7"
VilLain: Self-Supervised Learning on Hypergraphs without Features via Virtual Label Propagation,Graph Algorithms and Learning for the Web,"5, 5, 5, 4, 6","4, 4, 3, 4, 4","4, 6, 5, 3, 6"
GAUSS: GrAph-customized Universal Self-Supervised Learning,Graph Algorithms and Learning for the Web,"5, 4, 6, 4","4, 4, 4, 3","5, 4, 6, 4"
Fact Embedding through Diffusion Model for Knowledge Graph Completion,Semantics and Knowledge,"5, 5, 5, 5","4, 4, 3, 3","5, 5, 4, 4"
MMPOI: A Multi-Modal Content-Aware Framework for POI Recommendations,User Modeling and Recommendation,"5, 4, 6, 4, 4","3, 3, 4, 4, 3","4, 5, 5, 4, 4"
Long-term Off-Policy Evaluation and Learning,User Modeling and Recommendation,"6, 6, 6, 5","4, 4, 3, 3","5, 6, 6, 6"
Bit-mask Robust Contrastive Knowledge Distillation for Unsupervised Semantic Hashing,Search,"4, 6, 6, 4, 6","4, 4, 4, 4, 4","5, 5, 6, 5, 6"
Towards the Identifiability and Explainability for Personalized Learner Modeling: An Inductive Paradigm,User Modeling and Recommendation,"5, 5, 5, 4, 3","4, 4, 3, 4, 3","5, 5, 5, 4, 3"
GRASP: Hardening Serverless Applications through Graph Reachability Analysis of Security Policies,Security,"4, 5, 6, 4, 2","3, 2, 4, 4, 4","3, 4, 3, 4, 5"
UniTime: A Language-Empowered Unified Model for Cross-Domain Time Series Forecasting,Web Mining and Content Analysis,"5, 4, 3, 5, 5","3, 5, 1, 3, 4","5, 3, 4, 5, 5"
TATKC: A Temporal Graph Neural Network for Fast Approximate Temporal Katz Centrality Ranking,Graph Algorithms and Learning for the Web,,,
Blockchain Censorship,COI (submissions co-authored by SAC),"5, 4, 3, 6, 5, 6","4, 3, 3, 4, 4, 3","6, 3, 4, 6, 3, 5"
ReliK: A Reliability Measure for Knowledge Graph Embeddings,Semantics and Knowledge,"6, 5, 3, 5, 5","4, 3, 3, 3, 3","2, 5, 4, 5, 5"
RicciNet: Deep Clustering via A Riemannian Generative Model,Web Mining and Content Analysis,"5, 5, 6, 5","2, 3, 3, 3","4, 5, 5, 5"
MultiGPrompt for Multi-Task Pre-Training and Prompting on Graphs,Graph Algorithms and Learning for the Web,"5, 5, 5","3, 3, 4","5, 5, 4"
Game-theoretic Counterfactual Explanation for Graph Neural Networks,Graph Algorithms and Learning for the Web,"5, 4, 4, 4, 6","3, 4, 3, 3, 4","5, 4, 6, 5, 5"
Top-Personalized-K Recommendation,User Modeling and Recommendation,"3, 5, 5, 6","3, 4, 4, 4","3, 5, 5, 6"
FedDSE: Distribution-aware Sub-model Extraction for Federated Learning over Resource-constrained Devices,"Systems and Infrastructure for Web, Mobile, and WoT","4, 4, 6, 4, 4","3, 3, 3, 4, 3","5, 4, 6, 4, 4"
Extracting Small Subgraphs in Road Networks,COI (submissions co-authored by SAC),"4, 5, 5, 4, 5","4, 3, 4, 3, 2","4, 5, 5, 6, 5"
FairSync: Ensuring Amortized Group Exposure in Distributed Recommendation Retrieval,Responsible Web,"5, 4, 6, 5","4, 3, 4, 3","5, 3, 5, 5"
